XCoord,YCoord,RED,GREEN,BLUE,NIR,LCCODE
393760.4806,4806041.171,115,127,139,3,1
393851.7445,4805986.912,190,192,184,195,1
393694.1029,4805909.724,245,247,245,245,1
393665.2445,4805953.477,51,87,95,50,1
393774.8389,4805959.545,73,99,100,6,1
393880.5224,4805937.966,85,103,104,5,1
393602.417,4805771.747,64,85,89,1,1
393694.4604,4805766.833,244,242,238,201,1
393671.9695,4805828.672,78,103,111,1,1
393942.3176,4805822.92,153,133,118,75,3
393982.1619,4805814.5,225,208,182,188,3
393704.0893,4805605.607,101,140,142,1,1
393598.4462,4805685.21,235,237,230,240,1
393952.5234,4805698.058,219,204,179,175,3
393848.8606,4805584.913,162,138,123,63,3
393474.6616,4805551.2,39,74,88,1,1
393578.2626,4805562.556,98,117,116,3,1
393674.8985,4805573.158,233,235,234,146,1
393799.7655,4805502.548,155,130,117,72,3
393798.2022,4805458.406,222,202,182,188,3
393575.5292,4805333.969,68,89,94,4,1
393532.4027,4805409.994,238,239,230,44,1
393439.1987,4805396.742,42,78,88,1,1
393675.9309,4805420.493,134,109,97,52,3
393353.8704,4805276.843,70,99,118,38,1
393429.2472,4805261.796,236,243,234,147,1
393506.6624,4805265.771,103,107,98,1,1
393675.6253,4805285.679,151,129,114,88,3
393708.3304,4805265.245,219,202,179,177,3
393440.0896,4805067.628,54,77,85,1,1
393379.1468,4805116.223,134,133,136,1,1
393306.3134,4805182.328,240,237,237,1,1
393256.6205,4805172.721,46,73,83,13,1
393650.8657,4805148.367,220,203,179,180,3
393580.0365,4805176.33,134,109,96,50,3
393667.8216,4805121.252,217,199,177,189,3
393223.9696,4804976.638,247,247,249,237,1
393183.7041,4805013.651,69,101,111,1,1
393483.4565,4804949.21,147,125,111,60,3
393079.9538,4804883.647,50,91,118,1,1
393158.3035,4804836.503,172,189,181,1,1
393283.8936,4804808.535,89,101,103,1,1
393441.9053,4804904.828,128,106,97,49,3
393484.6295,4804858.251,214,198,175,176,3
393060.998,4804784.345,39,71,85,1,1
393184.0091,4804758.147,146,140,151,52,1
393212.8015,4804710.055,109,108,107,17,1
393243.0244,4804697.452,121,123,121,1,1
393465.7069,4804760.68,213,194,173,180,3
392983.9796,4804586.356,38,71,86,1,1
393157.9717,4804595.728,67,87,93,3,1
393235.0323,4804631.753,66,87,92,9,1
